i,qx,X,stddev,time
25,0.218433,1.13267,0.00292238,846.077
26,0.22717,1.14517,0.00278472,850.742
27,0.235908,1.16008,0.00273533,834.83
28,0.244645,1.15337,0.00264998,845.95
29,0.253382,1.16716,0.00257739,840.506
30,0.26212,1.1685,0.00250275,839.056
31,0.270857,1.16154,0.00242966,837.909
32,0.279594,1.16682,0.00237227,839.069
33,0.288332,1.1804,0.00229309,834.901
34,0.297069,1.18507,0.00224265,837.615
35,0.305806,1.18609,0.00216996,835.971
36,0.314544,1.17943,0.00213796,837.663
37,0.323281,1.18568,0.00209593,840.242
38,0.332018,1.17474,0.00203049,839.319
39,0.340756,1.19007,0.00198071,838.425
40,0.349493,1.19527,0.00192921,841.457
41,0.35823,1.20614,0.0018663,838.386
42,0.366968,1.20445,0.00184785,847.655
43,0.375705,1.2054,0.00176294,837.975
44,0.384442,1.21745,0.00172301,832.092
45,0.39318,1.22225,0.00164775,837.714
46,0.401917,1.155,0.00153937,845.63
47,0.410654,1.13726,0.00153911,837.669
48,0.419392,1.1796,0.00151169,840.031
49,0.428129,1.21268,0.00145547,841.138
