i,qx,X,stddev,time
50,0.436866,1.24246,0.00141473,864.916
51,0.445604,1.25479,0.00137378,863.021
52,0.454341,1.26544,0.00134184,846.505
53,0.463078,1.27471,0.00130161,844.554
54,0.471816,1.2469,0.00124934,855.903
55,0.480553,1.22791,0.00123397,851.971
56,0.48929,1.28434,0.0012834,724.62
57,0.498028,1.34046,0.0013314,597.836
58,0.506765,1.38116,0.00137338,511.874
59,0.515502,1.41333,0.00140979,438.73
60,0.52424,1.42926,0.00141739,378.272
61,0.532977,1.40269,0.00138859,293.926
62,0.541714,1.30646,0.00130498,276.107
63,0.550452,1.25577,0.00124164,278.159
64,0.559189,1.21889,0.00120022,268.026
65,0.567926,1.18759,0.00118366,254.438
66,0.576663,1.16579,0.00114866,245.556
67,0.585401,1.14228,0.00112216,229.208
68,0.594138,1.11828,0.00110567,210.892
69,0.602875,1.03716,0.00103323,193.11
70,0.611613,0.982927,0.000974381,201.9
71,0.62035,0.94064,0.000938198,202.332
72,0.629087,0.904274,0.000900841,203.759
73,0.637825,0.87628,0.000870093,200.871
74,0.646562,0.850453,0.00084112,201.96
