i,qx,X,stddev,time
50,0.436866,0.050986,0.000213853,17.2597
51,0.445604,0.0501238,0.000223648,17.3656
52,0.454341,0.0481872,0.00020578,17.224
53,0.463078,0.0464415,0.000185133,17.4114
54,0.471816,0.0445908,0.000178798,17.4147
55,0.480553,0.042883,0.000161275,17.1476
56,0.48929,0.0416606,0.000159846,17.2942
57,0.498028,0.0406643,0.000155886,17.4247
58,0.506765,0.0392852,0.000135998,17.421
59,0.515502,0.0383328,0.000135806,17.3423
60,0.52424,0.0371914,0.000122963,17.2662
61,0.532977,0.036199,0.000113182,17.4716
62,0.541714,0.0351124,0.000109791,17.1441
63,0.550452,0.0341915,0.000109445,17.1624
64,0.559189,0.0332978,0.00010633,17.1002
65,0.567926,0.0326723,0.000104953,17.1967
66,0.576663,0.0317393,0.00010085,17.2988
67,0.585401,0.0310331,9.9742e-05,17.416
68,0.594138,0.0304842,9.77253e-05,17.391
69,0.602875,0.0297353,9.62967e-05,17.315
70,0.611613,0.0291774,9.23427e-05,17.0301
71,0.62035,0.0286575,9.03838e-05,17.0894
72,0.629087,0.0280342,8.72902e-05,17.1433
73,0.637825,0.0276295,8.5528e-05,17.5599
74,0.646562,0.0272178,8.61247e-05,17.5679
