i,qx,X,stddev,time
50,0.436866,1.23413,0.00141488,868.415
51,0.445604,1.25575,0.00138037,861.768
52,0.454341,1.262,0.00134457,851.459
53,0.463078,1.27222,0.00129741,856.851
54,0.471816,1.2427,0.00123365,851.737
55,0.480553,1.22482,0.00121997,858.844
56,0.48929,1.27785,0.00116641,856.051
57,0.498028,1.33665,0.00112762,862.215
58,0.506765,1.37568,0.00108249,861.442
59,0.515502,1.41375,0.00101876,848.684
60,0.52424,1.42586,0.00095915,854.787
61,0.532977,1.39978,0.000833336,858.227
62,0.541714,1.30475,0.000759326,860.233
63,0.550452,1.25571,0.000724953,864.877
64,0.559189,1.21663,0.000691372,858.307
65,0.567926,1.18575,0.000660237,849.81
66,0.576663,1.16258,0.000632206,861.041
67,0.585401,1.13948,0.000600908,864.132
68,0.594138,1.11575,0.000558091,857.58
69,0.602875,1.03744,0.000509633,852.735
70,0.611613,0.979675,0.000485558,858.173
71,0.62035,0.939362,0.000477211,857.887
72,0.629087,0.902485,0.000455693,857.897
73,0.637825,0.87413,0.000444394,851.215
74,0.646562,0.848446,0.000424554,853.718
