i,qx,X,stddev,time
0,0,0.2409,0.00181409,853.14
1,0.00873733,0.170107,0.000659887,856.37
2,0.0174747,0.146864,0.000392442,854.013
3,0.026212,0.129446,0.000298397,862.689
4,0.0349493,0.11243,0.000237379,854.004
5,0.0436866,0.0977987,0.00020234,851.762
6,0.052424,0.0859852,0.000172765,853.987
7,0.0611613,0.0754242,0.000149855,865.457
8,0.0698986,0.0655909,0.000135394,850.029
9,0.0786359,0.059415,0.000123312,853.451
10,0.0873733,0.0544947,0.000112551,847.853
11,0.0961106,0.0511924,0.000103126,858.911
12,0.104848,0.0487466,9.54957e-05,859.653
13,0.113585,0.0466529,9.11495e-05,856.336
14,0.122323,0.0448894,8.32161e-05,855.835
15,0.13106,0.0445217,7.93962e-05,845.26
16,0.139797,0.0442921,7.43718e-05,848.675
17,0.148535,0.0449566,7.12395e-05,855.339
18,0.157272,0.0460886,6.78413e-05,852.497
19,0.166009,0.047517,6.33075e-05,858.951
20,0.174747,0.0486684,5.94728e-05,854.366
21,0.183484,0.0487469,5.59122e-05,849.371
22,0.192221,0.0488406,5.28685e-05,851.884
23,0.200958,0.0488291,5.07412e-05,846.757
24,0.209696,0.0491873,4.78751e-05,845.901
25,0.218433,0.0491387,4.48936e-05,853.479
26,0.22717,0.0494424,4.3381e-05,857.17
27,0.235908,0.0500944,4.1036e-05,852.647
28,0.244645,0.0503981,3.89078e-05,859.097
29,0.253382,0.0508891,3.67834e-05,849.913
30,0.26212,0.0512954,3.53562e-05,849.79
31,0.270857,0.0516904,3.33627e-05,864.165
32,0.279594,0.0522382,3.13511e-05,853.679
33,0.288332,0.0523658,2.9662e-05,856.831
34,0.297069,0.0528619,2.77327e-05,853.17
35,0.305806,0.0529846,2.63866e-05,857.871
36,0.314544,0.0500695,2.4412e-05,850.276
37,0.323281,0.0451686,2.27779e-05,861.837
38,0.332018,0.0429738,2.17394e-05,856.688
39,0.340756,0.0416111,2.14709e-05,865.291
40,0.349493,0.0409817,2.0528e-05,867.246
41,0.35823,0.0405083,1.99157e-05,865.342
42,0.366968,0.0402208,1.91302e-05,853.622
43,0.375705,0.040237,1.81277e-05,846.747
44,0.384442,0.0383978,1.53159e-05,853.384
45,0.39318,0.034715,1.3977e-05,856.451
46,0.401917,0.0324518,1.34501e-05,858.218
47,0.410654,0.0308457,1.3135e-05,857.261
48,0.419392,0.0297023,1.29331e-05,859.34
49,0.428129,0.0287015,1.254e-05,855.961
50,0.436866,0.0279813,1.228e-05,862.743
51,0.445604,0.0272973,1.15712e-05,860.022
52,0.454341,0.0258983,1.00294e-05,853.794
53,0.463078,0.0246749,9.59155e-06,861.135
54,0.471816,0.0236669,9.16145e-06,855.394
55,0.480553,0.0229206,8.92505e-06,852.228
56,0.48929,0.0222608,8.62327e-06,852.433
57,0.498028,0.0216349,8.34602e-06,863.687
58,0.506765,0.0211011,7.88692e-06,856.416
59,0.515502,0.0206037,7.32983e-06,861.823
60,0.52424,0.0197481,6.39347e-06,858.533
61,0.532977,0.0190626,5.97925e-06,852.761
62,0.541714,0.0184633,5.72113e-06,851.12
63,0.550452,0.0179373,5.52754e-06,856.12
64,0.559189,0.0174517,5.33931e-06,854.953
65,0.567926,0.0170105,5.21445e-06,846.779
66,0.576663,0.0165983,5.03228e-06,858.613
67,0.585401,0.0162165,4.87333e-06,856.287
68,0.594138,0.0158565,4.79887e-06,863.34
69,0.602875,0.0155175,4.70392e-06,851.181
70,0.611613,0.0152108,4.60177e-06,851.55
71,0.62035,0.0149349,4.45018e-06,853.162
72,0.629087,0.0146558,4.4111e-06,853.521
73,0.637825,0.0143951,4.3728e-06,864.746
74,0.646562,0.014163,4.26824e-06,863.014
75,0.655299,0.0139338,4.20447e-06,839.382
76,0.664037,0.0137235,4.13887e-06,842.984
77,0.672774,0.0135498,4.05216e-06,840.936
78,0.681511,0.0133493,4.00992e-06,844.583
79,0.690249,0.0131785,4.00252e-06,854.437
80,0.698986,0.0130203,4.00152e-06,850.289
81,0.707723,0.0128611,4.04592e-06,844.819
82,0.716461,0.01271,3.9543e-06,845.483
83,0.725198,0.0125611,3.87819e-06,841.169
84,0.733935,0.0124339,3.88858e-06,854.16
85,0.742673,0.0123374,3.84613e-06,843.504
86,0.75141,0.0122151,3.82537e-06,844.996
87,0.760147,0.0121114,3.69951e-06,841.129
88,0.768885,0.0120271,3.85139e-06,831.639
89,0.777622,0.0119652,3.68996e-06,848.193
90,0.786359,0.0118683,3.6552e-06,845.281
91,0.795097,0.0117951,3.67384e-06,840.433
92,0.803834,0.0117405,3.67171e-06,843.452
93,0.812571,0.0116929,3.6191e-06,850.634
94,0.821309,0.0116496,3.60131e-06,847.929
95,0.830046,0.0115594,3.57275e-06,841.591
96,0.838783,0.0115904,3.58949e-06,843.567
97,0.847521,0.0115499,3.48538e-06,845.556
98,0.856258,0.0115073,3.52486e-06,847.34
99,0.864995,0.0114855,3.49192e-06,844.264
100,0.873733,0.0114613,3.51459e-06,847.583
