i,qx,X,stddev,time
0,0,1.08921,0.0108845,77.6935
1,0.00873733,1.01182,0.00945269,51.5295
2,0.0174747,1.00221,0.00912227,34.4941
3,0.026212,0.983294,0.0096331,25.7018
4,0.0349493,0.97398,0.00807616,25.5426
5,0.0436866,0.989118,0.00675433,26.0327
6,0.052424,0.967221,0.00571025,25.3841
7,0.0611613,0.969909,0.00508741,25.8718
8,0.0698986,0.963107,0.0046578,25.8945
9,0.0786359,0.95928,0.0040803,25.7148
10,0.0873733,0.9456,0.00912852,17.0153
11,0.0961106,0.945321,0.00747453,17.316
12,0.104848,0.927887,0.00674043,17.0657
13,0.113585,0.917282,0.00650379,17.2283
14,0.122323,0.908795,0.00593765,17.0371
15,0.13106,0.882402,0.00568997,16.9713
16,0.139797,0.85913,0.00491761,17.1479
17,0.148535,0.80221,0.00550404,17.1271
18,0.157272,0.720281,0.00553749,17.1036
19,0.166009,0.632772,0.00441415,17.3997
20,0.174747,0.561413,0.0040809,17.0646
21,0.183484,0.481891,0.0035438,16.9442
22,0.192221,0.423194,0.00342078,17.0406
23,0.200958,0.382689,0.00294525,16.9761
24,0.209696,0.34458,0.00278155,16.938
