i,qx,X,stddev,time
75,0.655299,0.0139338,4.20447e-06,839.382
76,0.664037,0.0137235,4.13887e-06,842.984
77,0.672774,0.0135498,4.05216e-06,840.936
78,0.681511,0.0133493,4.00992e-06,844.583
79,0.690249,0.0131785,4.00252e-06,854.437
80,0.698986,0.0130203,4.00152e-06,850.289
81,0.707723,0.0128611,4.04592e-06,844.819
82,0.716461,0.01271,3.9543e-06,845.483
83,0.725198,0.0125611,3.87819e-06,841.169
84,0.733935,0.0124339,3.88858e-06,854.16
85,0.742673,0.0123374,3.84613e-06,843.504
86,0.75141,0.0122151,3.82537e-06,844.996
87,0.760147,0.0121114,3.69951e-06,841.129
88,0.768885,0.0120271,3.85139e-06,831.639
89,0.777622,0.0119652,3.68996e-06,848.193
90,0.786359,0.0118683,3.6552e-06,845.281
91,0.795097,0.0117951,3.67384e-06,840.433
92,0.803834,0.0117405,3.67171e-06,843.452
93,0.812571,0.0116929,3.6191e-06,850.634
94,0.821309,0.0116496,3.60131e-06,847.929
95,0.830046,0.0115594,3.57275e-06,841.591
96,0.838783,0.0115904,3.58949e-06,843.567
97,0.847521,0.0115499,3.48538e-06,845.556
98,0.856258,0.0115073,3.52486e-06,847.34
99,0.864995,0.0114855,3.49192e-06,844.264
100,0.873733,0.0114613,3.51459e-06,847.583
