i,qx,X,stddev,time
0,0,1.07896,0.00201384,1695.59
1,0.00873733,1.00019,0.000831266,1695.16
2,0.0174747,0.988291,0.000508669,1672.39
3,0.026212,0.974683,0.000374659,1687.74
4,0.0349493,0.965285,0.000296152,1679.39
5,0.0436866,0.951386,0.000245005,1681.76
6,0.052424,0.931949,0.000207733,1672.38
7,0.0611613,0.905941,0.000175569,1673.52
8,0.0698986,0.857201,0.000150874,1670.76
9,0.0786359,0.729914,0.000133918,1681.27
10,0.0873733,0.5489,0.000122005,1670.61
11,0.0961106,0.425726,0.000109837,1660.15
12,0.104848,0.343567,9.83133e-05,1682.8
13,0.113585,0.281353,9.18514e-05,1670.7
14,0.122323,0.232162,8.66379e-05,1677.61
15,0.13106,0.197928,8.80962e-05,1653.25
16,0.139797,0.178548,8.50888e-05,1660.81
17,0.148535,0.166218,8.22601e-05,1671.21
18,0.157272,0.159199,7.91902e-05,1677.66
19,0.166009,0.156311,7.40732e-05,1687.83
20,0.174747,0.155718,6.8867e-05,1673.43
21,0.183484,0.155329,6.4345e-05,1652.75
22,0.192221,0.157578,6.04649e-05,1663.9
23,0.200958,0.15527,5.55764e-05,1663.77
24,0.209696,0.140522,5.06922e-05,1657.93
25,0.218433,0.129752,4.7818e-05,1708.92
26,0.22717,0.122037,4.57223e-05,1703.65
27,0.235908,0.116367,4.34705e-05,1685.33
28,0.244645,0.112041,4.18001e-05,1671.95
29,0.253382,0.108182,4.0137e-05,1706.1
30,0.26212,0.105666,3.77805e-05,1685.62
31,0.270857,0.102851,3.54299e-05,1705.24
32,0.279594,0.0995623,3.29087e-05,1681.46
33,0.288332,0.0969373,3.14365e-05,1687.43
34,0.297069,0.0946548,2.9559e-05,1684.11
35,0.305806,0.0929572,2.80495e-05,1684.39
36,0.314544,0.0912766,2.64801e-05,1672.14
37,0.323281,0.0891548,2.49034e-05,1690.8
38,0.332018,0.0820812,2.30514e-05,1700.88
39,0.340756,0.0775227,2.20136e-05,1691.38
40,0.349493,0.0743326,2.15375e-05,1705.12
41,0.35823,0.0719413,2.09657e-05,1698.28
42,0.366968,0.0702685,2.02786e-05,1708.87
43,0.375705,0.0690111,1.94384e-05,1706.57
44,0.384442,0.0679983,1.84006e-05,1710.38
45,0.39318,0.0666048,1.61896e-05,1692.66
46,0.401917,0.060994,1.4142e-05,1713.83
47,0.410654,0.0574942,1.37909e-05,1715.48
48,0.419392,0.0550125,1.35038e-05,1702.54
49,0.428129,0.0528368,1.31831e-05,1700.43
50,0.436866,0.0511265,1.26385e-05,1718.27
51,0.445604,0.0495137,1.20825e-05,1731.49
52,0.454341,0.0482192,1.12899e-05,1710.79
53,0.463078,0.0463755,1.03534e-05,1724.62
54,0.471816,0.0444083,9.97975e-06,1720.9
55,0.480553,0.0428599,9.49331e-06,1712.6
56,0.48929,0.0415046,9.2169e-06,1708.22
57,0.498028,0.0403547,8.92514e-06,1713.19
58,0.506765,0.0392803,8.50405e-06,1719.5
59,0.515502,0.0383405,8.0089e-06,1711.58
60,0.52424,0.0374255,7.30123e-06,1685.22
61,0.532977,0.0361318,6.41626e-06,1704.61
62,0.541714,0.0349955,6.15082e-06,1691.27
63,0.550452,0.0340324,5.92585e-06,1683.92
64,0.559189,0.0331595,5.79633e-06,1701.79
65,0.567926,0.0323904,5.61189e-06,1698
66,0.576663,0.0316455,5.48055e-06,1692.48
67,0.585401,0.0309538,5.30237e-06,1693.93
68,0.594138,0.0303188,5.17655e-06,1704.97
69,0.602875,0.0296936,5.08547e-06,1709.35
70,0.611613,0.0291246,4.98464e-06,1698
71,0.62035,0.0285857,4.89455e-06,1695.22
72,0.629087,0.0280922,4.80671e-06,1692.36
73,0.637825,0.0276046,4.73181e-06,1713.87
74,0.646562,0.0271658,4.62602e-06,1695.09
