i,qx,X,stddev,time
0,0,1.07896,0.00201384,1695.59
1,0.00873733,1.00019,0.000831266,1695.16
2,0.0174747,0.988291,0.000508669,1672.39
3,0.026212,0.974683,0.000374659,1687.74
4,0.0349493,0.965285,0.000296152,1679.39
5,0.0436866,0.951386,0.000245005,1681.76
6,0.052424,0.931949,0.000207733,1672.38
7,0.0611613,0.905941,0.000175569,1673.52
8,0.0698986,0.857201,0.000150874,1670.76
9,0.0786359,0.729914,0.000133918,1681.27
10,0.0873733,0.5489,0.000122005,1670.61
11,0.0961106,0.425726,0.000109837,1660.15
12,0.104848,0.343567,9.83133e-05,1682.8
13,0.113585,0.281353,9.18514e-05,1670.7
14,0.122323,0.232162,8.66379e-05,1677.61
15,0.13106,0.197928,8.80962e-05,1653.25
16,0.139797,0.178548,8.50888e-05,1660.81
17,0.148535,0.166218,8.22601e-05,1671.21
18,0.157272,0.159199,7.91902e-05,1677.66
19,0.166009,0.156311,7.40732e-05,1687.83
20,0.174747,0.155718,6.8867e-05,1673.43
21,0.183484,0.155329,6.4345e-05,1652.75
22,0.192221,0.157578,6.04649e-05,1663.9
23,0.200958,0.15527,5.55764e-05,1663.77
24,0.209696,0.140522,5.06922e-05,1657.93
