i,qx,X,stddev,time
0,0,0.2409,0.00181409,853.14
1,0.00873733,0.170107,0.000659887,856.37
2,0.0174747,0.146864,0.000392442,854.013
3,0.026212,0.129446,0.000298397,862.689
4,0.0349493,0.11243,0.000237379,854.004
5,0.0436866,0.0977987,0.00020234,851.762
6,0.052424,0.0859852,0.000172765,853.987
7,0.0611613,0.0754242,0.000149855,865.457
8,0.0698986,0.0655909,0.000135394,850.029
9,0.0786359,0.059415,0.000123312,853.451
10,0.0873733,0.0544947,0.000112551,847.853
11,0.0961106,0.0511924,0.000103126,858.911
12,0.104848,0.0487466,9.54957e-05,859.653
13,0.113585,0.0466529,9.11495e-05,856.336
14,0.122323,0.0448894,8.32161e-05,855.835
15,0.13106,0.0445217,7.93962e-05,845.26
16,0.139797,0.0442921,7.43718e-05,848.675
17,0.148535,0.0449566,7.12395e-05,855.339
18,0.157272,0.0460886,6.78413e-05,852.497
19,0.166009,0.047517,6.33075e-05,858.951
20,0.174747,0.0486684,5.94728e-05,854.366
21,0.183484,0.0487469,5.59122e-05,849.371
22,0.192221,0.0488406,5.28685e-05,851.884
23,0.200958,0.0488291,5.07412e-05,846.757
24,0.209696,0.0491873,4.78751e-05,845.901
